fname,lname,minitial,email,phone_number,address,zip,city
BRITTANY,GARNER,A,garnerbrittany@hotmail.com,6588617680,180 KEMPTON AVE,33602,TAMPA
ANIYAH,DANIEL,M,danielaniyah@gmail.com,8895896830,64 FORT MASON 16,33603,TAMPA
KAI,WHEELER,B,wheelerkai@outlook.com,9834952870,278 FORD ST,33604,TAMPA
DERICK,JEFFERSON,K,jeffersonderick@yahoo.com,8012730090,158 ALVORD ST,33605,TAMPA
FATIMA,FREDERICK,J,frederickfatima@outlook.com,6683172170,182 UNNAMED 163,33606,TAMPA
RIVKA,JARVIS,F,jarvisrivka@outlook.com,6300436040,21 EMERALD LN,33607,TAMPA
JACK,CARPENTER,O,carpenterjack@hotmail.com,9694600280,170 PAUL AVE,33609,TAMPA
ISLA,WALSH,O,walshisla@hotmail.com,7991809770,89 WESTMOORLAND DR,33610,TAMPA
MATIAS,CONRAD,C,conradmatias@hotmail.com,9378750740,296 ROSEWOOD DR,33611,TAMPA
MUHAMMAD,WEBB,P,webbmuhammad@hotmail.com,8708647550,165 ROD RD,33612,TAMPA
AMIR,BAKER,K,bakeramir@outlook.com,9214554430,15 CHERRY ST,33613,TAMPA
VALENTINO,HOOVER,X,hoovervalentino@hotmail.com,9847604120,183 UNNAMED 115,33614,TAMPA
ELIJAH,HOLT,G,holtelijah@gmail.com,6136701600,49 BRICE TER,33615,TAMPA
JADE,PAYNE,D,paynejade@gmail.com,7711443160,255 BEATRICE LN,33616,TAMPA
SEBASTIAN,KELLEY,V,kelleysebastian@outlook.com,9695134770,11 PARNASSUS AVE,33617,TAMPA
FATIMA,OLIVER,K,oliverfatima@gmail.com,8408662510,243 MADERA ST,33618,TAMPA
RUBY,ANDERSEN,N,andersenruby@gmail.com,7062718290,83 PHILLIPS LN,33619,TAMPA
AMANDA,CHANG,G,changamanda@hotmail.com,9297838790,23 THOMAS CT,33620,TAMPA
KYLE,GRAHAM,S,grahamkyle@gmail.com,9632099870,259 FERNANDEZ ST,33621,TAMPA
MANUEL,LEBLANC,F,leblancmanuel@outlook.com,7023984250,289 ARELIOUS WALKER DR,33624,TAMPA
DILAN,MORAN,L,morandilan@hotmail.com,8496120120,9 RACCOON DR,33625,TAMPA
MARIAM,SHORT,U,shortmariam@hotmail.com,6551392910,162 WOOLSEY ST,33626,TAMPA
BLAKE,GREEN,I,greenblake@yahoo.com,6806430090,67 MUIR LOOP,33629,TAMPA
EMILY,BURKE,R,burkeemily@yahoo.com,9859527000,101 CONNECTICUT ST,33634,TAMPA
ZACHARY,BARRY,L,barryzachary@hotmail.com,8079997270,72 TONQUIN ST,33635,TAMPA
HENNY,BRAY,T,brayhenny@outlook.com,6208355400,130 OLYMPIA WAY,33637,TAMPA
LEILA,LANDRY,S,landryleila@outlook.com,6405199840,246 YERBA BUENA RD,33647,TAMPA
RAYMOND,NGUYEN,G,nguyenraymond@gmail.com,8319944040,151 ROMAIN ST,33801,LAKELAND
FRIMET,WARNER,O,warnerfrimet@yahoo.com,9052175080,39 HABITAT TER,33803,LAKELAND
JULIANA,HENDRICKS,U,hendricksjuliana@outlook.com,7476471730,135 GLENVIEW DR,33805,LAKELAND
CATALINA,BANKS,W,bankscatalina@outlook.com,7601869870,35 WEDEMEYER ST,33809,LAKELAND
NEVAEH,SPEARS,F,spearsnevaeh@gmail.com,9696877830,108 TARA ST,33810,LAKELAND
BRACHA,DUFFY,G,duffybracha@outlook.com,6853928670,295 HWY 101 SOUTHBOUND RAMP,33811,LAKELAND
CONNOR,HUNT,X,huntconnor@hotmail.com,7450055350,106 COLERIDGE ST,33812,LAKELAND
PARIS,GENTRY,I,gentryparis@yahoo.com,7680592480,20 LA SALLE AVE,33813,LAKELAND
LAUREN,WU,A,wulauren@gmail.com,9907680520,34 BANNAN PL,33815,LAKELAND
LAZER,WILCOX,V,wilcoxlazer@outlook.com,7571980650,174 PARSONS ST,33823,AUBURNDALE
